cid,rhealth,raceth,fem,pfem,sprhealth,marstrain
101,Good,nh-white,1,1,3,-1
101,Good,nh-white,1,1,3,-1.75
103,Very Good,nh-white,1,1,4,-1
103,Very Good,nh-white,1,1,4,-1.5
106,Excellent,nh-white,1,1,5,-1.25
106,Excellent,nh-white,1,1,5,-1.25
114,Very Good,nh-white,0,0,4,-2
114,Very Good,nh-white,0,0,4,-2
120,Excellent,nh-white,0,0,4,-1.75
120,Very Good,nh-white,0,0,5,-1.75
124,Good,nh-white,1,1,3,-1.75
124,Good,nh-white,1,1,3,-1.5
126,Good,nh-black,1,1,3,-1
126,Good,nh-white,1,1,3,-1
145,Good,nh-white,0,1,5,-.5
145,Excellent,nh-white,1,0,3,-.5
146,Excellent,nh-white,1,0,5,-1.75
146,Excellent,nh-white,0,1,5,-2
150,Good,nh-white,0,1,1,-1
150,Poor,nh-white,1,0,3,-1.75
152,Excellent,nh-white,1,0,3,-.25
152,Good,nh-white,0,1,5,.5
164,Good,hispanic,0,0,3,-1.5
164,Good,nh-white,0,0,3,-.75
165,Good,nh-white,1,1,5,-1.75
165,Excellent,nh-white,1,1,3,-2
167,Good,nh-white,1,0,5,-1.25
167,Excellent,nh-white,0,1,3,-1.75
169,Very Good,nh-white,1,1,5,-1.5
169,Excellent,nh-white,1,1,4,-.5
170,Good,nh-white,0,0,5,-1.25
170,Excellent,nh-white,0,0,3,-.5
171,Good,nh-white,0,0,3,-.25
171,Good,nh-white,0,0,3,-1.5
172,Very Good,nh-white,0,0,5,-1.75
172,Excellent,nh-asian,0,0,4,-2
173,Poor,nh-white,1,1,3,.25
173,Good,nh-white,1,1,1,-2
174,Good,nh-white,0,0,3,-1.25
174,Good,hispanic,0,0,3,-.25
175,Excellent,hispanic,1,1,4,-1.75
175,Very Good,nh-white,1,1,5,-1.75
176,Very Good,nh-asian,0,0,5,-1.75
176,Excellent,nh-white,0,0,4,-1.25
177,Good,nh-white,0,0,3,1
177,Good,nh-white,0,0,3,-1
