cid,rhealth,raceth,fem,pfem,sprhealth,marstrain,simx,simy,marhappy
101,Good,nh-white,1,1,3,-1,18.236151,4.8414683,1
101,Good,nh-white,1,1,3,-1.75,15.392377,1.7296225,1.75
103,Very Good,nh-white,1,1,4,-1,19.693924,2.8080432,1
103,Very Good,nh-white,1,1,4,-1.5,23.164589,3.8655336,1.5
106,Excellent,nh-white,1,1,5,-1.25,23.169117,4.5993471,1.25
106,Excellent,nh-white,1,1,5,-1.25,22.015219,5.2885685,1.25
114,Very Good,nh-white,0,0,4,-2,21.139137,5.90207,2
114,Very Good,nh-white,0,0,4,-2,18.114214,1.9470401,2
120,Excellent,nh-white,0,0,4,-1.75,21.428301,4.5442543,1.75
120,Very Good,nh-white,0,0,5,-1.75,20.176294,5.3136649,1.75
124,Good,nh-white,1,1,3,-1.75,17.009733,3.4550946,1.75
124,Good,nh-white,1,1,3,-1.5,15.679259,3.9597545,1.5
126,Good,nh-black,1,1,3,-1,17.486769,3.158381,1
126,Good,nh-white,1,1,3,-1,19.940001,2.1226201,1
145,Good,nh-white,0,1,5,-.5,15.555373,4.7894063,.5
145,Excellent,nh-white,1,0,3,-.5,24.078081,6.4431267,.5
146,Excellent,nh-white,1,0,5,-1.75,23.987835,4.0120931,1.75
146,Excellent,nh-white,0,1,5,-2,22.789711,4.1276884,2
150,Good,nh-white,0,1,1,-1,17.45323,1.1830784,1
150,Poor,nh-white,1,0,3,-1.75,12.157454,2.3233373,1.75
152,Excellent,nh-white,1,0,3,-.25,21.287409,6.5278258,.25
152,Good,nh-white,0,1,5,.5,19.131475,1.4131458,-.5
164,Good,hispanic,0,0,3,-1.5,17.951506,-.50298923,1.5
164,Good,nh-white,0,0,3,-.75,14.85032,1.8528333,.75
165,Good,nh-white,1,1,5,-1.75,16.508076,5.0126886,1.75
165,Excellent,nh-white,1,1,3,-2,22.878,3.9029388,2
167,Good,nh-white,1,0,5,-1.25,18.574856,3.3983531,1.25
167,Excellent,nh-white,0,1,3,-1.75,21.799612,5.8164663,1.75
